ISO,Country,popcover,oopexp,timecatasurg,skippedcons,Ypopcover,Yoopexp,Ytimecatasurg,Yskippedcons
AUS,Australia,100,3.1,93,16.2,2015,2015,2015,2016
AUT,Austria,99.9,3.0,,,2015,2015,2015,2016
BEL,Belgium,99.0,3.2,,,2015,2015,2015,2016
CAN,Canada,100,2.2,58,6.6,2015,2015,2015,2016
CHL,Chile,92.1,4.1,103,,2015,2015,2015,2016
CZE,Czech Republic,100,2.3,,,2015,2015,2015,2016
DNK,Denmark,100,2.6,87,,2015,2015,2015,2016
EST,Estonia,94.0,2.7,253,9.7,2015,2015,2015,2016
FIN,Finland,100,3.0,103,,2015,2015,2015,2016
FRA,France,99.9,1.4,,8.5,2015,2015,2015,2016
DEU,Germany,100,1.8,,2.6,2015,2015,2015,2016
GRC,Greece,86.0,4.4,,,2015,2015,2015,2016
HUN,Hungary,95.0,4.4,88,,2015,2015,2015,2016
ISL,Iceland,100,3.1,,,2015,2015,2015,2016
IRL,Ireland,100,2.5,,,2015,2015,2015,2016
ISR,Israel,100,3.4,132,4.7,2015,2015,2015,2016
ITA,Italy,100,3.1,50,4.8,2015,2015,2015,2016
JPN,Japan,100,2.6,,,2015,2015,2015,2016
KOR,Korea,100,5.1,,,2015,2015,2015,2016
LVA,Latvia,,3.9,,,2015,2015,2015,2016
LUX,Luxembourg,95.2,1.4,,,2015,2015,2015,2016
MEX,Mexico,92.3,3.6,,,2015,2015,2015,2016
NLD,Netherlands,99.9,2.4,37,10.3,2015,2015,2015,2016
NZL,New Zealand,100,2.1,73,14.5,2015,2015,2015,2016
NOR,Norway,100,2.9,117,5.9,2015,2015,2015,2016
POL,Poland,91.0,2.5,464,33.0,2015,2015,2015,2016
PRT,Portugal,100,3.8,104,8.3,2015,2015,2015,2016
SVK,Slovak Republic,93.8,2.4,,,2015,2015,2015,2016
SVN,Slovenia,100,2.0,,,2015,2015,2015,2016
ESP,Spain,99.8,3.7,105,2.8,2015,2015,2015,2016
SWE,Sweden,100,3.3,,3.9,2015,2015,2015,2016
CHE,Switzerland,100,5.3,,20.9,2015,2015,2015,2016
TUR,Turkey,98.4,,,,2015,2015,2015,2016
GBR,United Kingdom,100,1.5,72,4.2,2015,2015,2015,2016
USA,United States,90.9,2.5,,22.3,2015,2015,2015,2016
OECD,OECD,97.9,3.0,121,10.5,2015,2015,2015,2016
