ISO,Country,asthmahosp,antibio,myocardmort,colcansurv,osttrauma,Yasthmahosp,Yantibio,Ymyocardmort,Ycolcansurv,Yosttrauma
AUS,Australia,371,23.4,4.0,70.6,7.2,2015,2015,2015,2015,2015
AUT,Austria,330,14.0,7.4,63.7,,2015,2015,2015,2015,2015
BEL,Belgium,286,29.2,7.0,67.8,3.4,2015,2015,2015,2015,2015
CAN,Canada,247,20.8,5.1,67.2,16.9,2015,2015,2015,2015,2015
CHL,Chile,99,,11.3,51.5,,2015,2015,2015,2015,2015
CZE,Czech Republic,193,19.6,6.9,56.1,,2015,2015,2015,2015,2015
DNK,Denmark,333,16.1,4.0,61.6,10.9,2015,2015,2015,2015,2015
EST,Estonia,137,12.1,10.6,58.4,3.9,2015,2015,2015,2015,2015
FIN,Finland,184,17.2,5.6,64.8,3.7,2015,2015,2015,2015,2015
FRA,France,150,29.9,5.6,63.7,,2015,2015,2015,2015,2015
DEU,Germany,284,14.4,7.7,64.8,6.4,2015,2015,2015,2015,2015
GRC,Greece,,36.1,,,,2015,2015,2015,2015,2015
HUN,Hungary,428,17.0,,,,2015,2015,2015,2015,2015
ISL,Iceland,223,19.9,5.9,68.2,,2015,2015,2015,2015,2015
IRL,Ireland,411,25.6,6.4,60.5,4.2,2015,2015,2015,2015,2015
ISR,Israel,259,21.4,6.7,71.7,1.9,2015,2015,2015,2015,2015
ITA,Italy,64,27.5,5.4,64.1,1.9,2015,2015,2015,2015,2015
JPN,Japan,58,,11.7,67.8,,2015,2015,2015,2015,2015
KOR,Korea,309,24.3,8.1,71.6,,2015,2015,2015,2015,2015
LVA,Latvia,341,13.3,13.4,56.4,,2015,2015,2015,2015,2015
LUX,Luxembourg,186,26.3,7.3,,,2015,2015,2015,2015,2015
MEX,Mexico,96,,28.1,,,2015,2015,2015,2015,2015
NLD,Netherlands,202,10.7,5.4,63.0,3.2,2015,2015,2015,2015,2015
NZL,New Zealand,363,25.8,4.7,64.0,8.5,2015,2015,2015,2015,2015
NOR,Norway,261,15.8,3.7,66.6,2.5,2015,2015,2015,2015,2015
POL,Poland,234,26.2,4.4,52.8,0.7,2015,2015,2015,2015,2015
PRT,Portugal,74,21.3,7.9,60.9,2.5,2015,2015,2015,2015,2015
SVK,Slovak Republic,238,24.5,6.4,51.7,,2015,2015,2015,2015,2015
SVN,Slovenia,146,14.5,6.1,61.9,2.1,2015,2015,2015,2015,2015
ESP,Spain,234,21.6,7.9,63.3,4.8,2015,2015,2015,2015,2015
SWE,Sweden,184,12.3,4.2,64.9,11.3,2015,2015,2015,2015,2015
CHE,Switzerland,138,,5.1,67.2,7.4,2015,2015,2015,2015,2015
TUR,Turkey,414,17.3,8.6,54.6,,2015,2015,2015,2015,2015
GBR,United Kingdom,303,20.1,7.1,60.0,6.8,2015,2015,2015,2015,2015
USA,United States,262,,6.5,64.9,9.6,2015,2015,2015,2015,2015
OECD,OECD,236.5,20.6,7.5,62.8,5.7,2015,2015,2015,2015,2015
