ISO,Country,smoking,alcohol,obesity,airpol,Ysmoking,Yalcohol,Yobesity,Yairpol
AUS,Australia,12.4,9.7,27.9,5.897734951,2015,2015,2015,2015
AUT,Austria,24.3,12.3,14.7,17.01299421,2015,2015,2015,2015
BEL,Belgium,18.9,12.6,18.6,15.63662972,2015,2015,2015,2015
CAN,Canada,14.0,8.1,25.8,7.178847511,2015,2015,2015,2015
CHL,Chile,,7.2,,20.94195715,2015,2015,2015,2015
CZE,Czech Republic,18.2,11.5,18.7,21.40898739,2015,2015,2015,2015
DNK,Denmark,17.0,9.4,14.9,11.02259277,2015,2015,2015,2015
EST,Estonia,21.3,10.3,18.0,9.404689495,2015,2015,2015,2015
FIN,Finland,17.4,8.5,24.8,7.379235597,2015,2015,2015,2015
FRA,France,22.4,11.9,17.0,12.36533737,2015,2015,2015,2015
DEU,Germany,20.9,11.0,23.6,14.0153719,2015,2015,2015,2015
GRC,Greece,27.3,7.5,17.0,13.48711001,2015,2015,2015,2015
HUN,Hungary,25.8,10.9,30.0,23.05838255,2015,2015,2015,2015
ISL,Iceland,10.2,7.5,19.0,7.78903328,2015,2015,2015,2015
IRL,Ireland,19.0,10.9,23.0,9.799825902,2015,2015,2015,2015
ISR,Israel,19.6,2.6,16.6,21.09447276,2015,2015,2015,2015
ITA,Italy,20.0,7.6,9.8,19.86123293,2015,2015,2015,2015
JPN,Japan,18.2,7.2,3.7,13.33416293,2015,2015,2015,2015
KOR,Korea,17.3,9.1,5.3,28.66424214,2015,2015,2015,2015
LVA,Latvia,24.1,10.8,23.2,20.41799195,2015,2015,2015,2015
LUX,Luxembourg,14.9,11.1,22.6,16.58784625,2015,2015,2015,2015
MEX,Mexico,7.6,5.2,33.3,20.23982419,2015,2015,2015,2015
NLD,Netherlands,19.0,8.0,12.8,14.63752206,2015,2015,2015,2015
NZL,New Zealand,14.2,8.9,31.6,5.546610811,2015,2015,2015,2015
NOR,Norway,12.0,6.0,12.0,9.07633792,2015,2015,2015,2015
POL,Poland,22.7,10.5,16.7,24.28187517,2015,2015,2015,2015
PRT,Portugal,16.8,9.9,16.6,9.760644322,2015,2015,2015,2015
SVK,Slovak Republic,22.9,10.2,16.3,20.52367065,2015,2015,2015,2015
SVN,Slovenia,18.9,11.5,19.2,20.3499567,2015,2015,2015,2015
ESP,Spain,23.0,9.3,16.7,9.738283342,2015,2015,2015,2015
SWE,Sweden,11.2,7.2,12.3,6.241379908,2015,2015,2015,2015
CHE,Switzerland,20.4,9.5,10.3,12.89019363,2015,2015,2015,2015
TUR,Turkey,27.3,1.4,22.3,36.40911573,2015,2015,2015,2015
GBR,United Kingdom,16.1,9.5,26.9,12.41225066,2015,2015,2015,2015
USA,United States,11.4,8.8,38.2,8.441199408,2015,2015,2015,2015
OECD,OECD,18.4,9.0,19.4,15.1,2015,2015,2015,2015
