ISO,Country,MLifeExp,FLifeExp,LifeExp65,ischaemic,dementia,YMLifeExp,YFLifeExp,YLifeExp65,Yischaemic,Ydementia
AUS,Australia,80.4,84.5,20.9,85.4,14.2233687807818,2015,2015,2015,2015,2017
AUT,Austria,78.8,83.7,19.7,131.1,17.9931197615052,2015,2015,2015,2015,2017
BEL,Belgium,78.7,83.4,19.85,54.3,17.9644477159478,2015,2015,2015,2015,2017
CAN,Canada,79.6,83.8,20.2,93.2,13.032199748587,2015,2015,2015,2015,2017
CHL,Chile,76.5,81.7,18.5,63.9,11.6501688256028,2015,2015,2015,2015,2017
CZE,Czech Republic,75.7,81.6,17.65,237.1,10.4027982625849,2015,2015,2015,2015,2017
DNK,Denmark,78.8,82.7,19.35,59.5,16.4102977369522,2015,2015,2015,2015,2017
EST,Estonia,73.2,82.2,18.1,210.8,14.7192730476958,2015,2015,2015,2015,2017
FIN,Finland,78.7,84.4,20.1,146.9,18.4634816106732,2015,2015,2015,2015,2017
FRA,France,79.2,85.5,21.45,39.4,19.6838299952471,2015,2015,2015,2015,2017
DEU,Germany,78.3,83.1,19.45,105.7,20.212926557036,2015,2015,2015,2015,2017
GRC,Greece,78.5,83.7,19.9,82,19.6357209057926,2015,2015,2015,2015,2017
HUN,Hungary,72.3,79.0,16.35,288.3,10.566708282077,2015,2015,2015,2015,2017
ISL,Iceland,81.2,83.8,20.4,100.2,12.9789120214909,2015,2015,2015,2015,2017
IRL,Ireland,79.6,83.4,19.7,127,11.471330463324,2015,2015,2015,2015,2017
ISR,Israel,80.1,84.1,20.2,63.8,10.5234190182862,2015,2015,2015,2015,2017
ITA,Italy,80.3,84.9,20.55,84.1,22.5235700194913,2015,2015,2015,2015,2017
JPN,Japan,80.8,87.1,21.9,34.1,23.3332679162047,2015,2015,2015,2015,2017
KOR,Korea,79.0,85.2,20.3,38,9.5650964301039,2015,2015,2015,2015,2017
LVA,Latvia,69.7,79.5,16.55,327.5,14.5893848702601,2015,2015,2015,2015,2017
LUX,Luxembourg,80.0,84.7,20.35,58.9,13.2857701108055,2015,2015,2015,2015,2017
MEX,Mexico,72.3,77.7,17.7,144.4,7.20820170278121,2015,2015,2015,2015,2017
NLD,Netherlands,79.9,83.2,19.75,46.1,16.1157422033351,2015,2015,2015,2015,2017
NZL,New Zealand,79.9,83.4,20.4,129,13.5351005925006,2015,2015,2015,2015,2017
NOR,Norway,80.5,84.2,20.25,71.9,15.0679864205845,2015,2015,2015,2015,2017
POL,Poland,73.5,81.6,17.9,97.8,9.90651775109671,2015,2015,2015,2015,2017
PRT,Portugal,78.1,84.3,19.85,55,19.8750833776562,2015,2015,2015,2015,2017
SVK,Slovak Republic,73.1,80.2,16.9,290.8,8.26472310506782,2015,2015,2015,2015,2017
SVN,Slovenia,77.8,83.9,19.5,82.3,11.7908961449555,2015,2015,2015,2015,2017
ESP,Spain,80.1,85.8,21.0,53.2,19.4241424871696,2015,2015,2015,2015,2017
SWE,Sweden,80.4,84.1,20.2,95.2,18.0709301995893,2015,2015,2015,2015,2017
CHE,Switzerland,80.8,85.1,20.9,77.7,17.1860220705391,2015,2015,2015,2015,2017
TUR,Turkey,75.3,80.7,17.75,146.1,8.01219333402853,2015,2015,2015,2015,2017
GBR,United Kingdom,79.2,82.8,19.7,98.1,17.1056336441625,2015,2015,2015,2015,2017
USA,United States,76.3,81.2,19.3,113.4,11.6076131088215,2015,2015,2015,2015,2017
OECD,OECD,77.9,83.1,19.5,112,14.8,2015,2015,2015,2015,2017
